Date,Month,Day,Price,Open,High,Low,Volume,Chg%,,
"May 27, 2021",May,Thu,"1,928.35","1,900.00","1,941.15","1,876.00",2.28M,1.81%,,
"May 26, 2021",May,Wed,"1,894.05","1,920.00","1,930.05","1,888.00",922.76K,-0.73%,,
"May 25, 2021",May,Tue,"1,907.95","1,901.50","1,914.00","1,890.00",989.52K,1.24%,,
"May 24, 2021",May,Mon,"1,884.50","1,870.00","1,902.80","1,867.40",1.27M,1.21%,,
"May 21, 2021",May,Fri,"1,862.00","1,860.00","1,894.70","1,850.05",1.20M,0.34%,,
"May 20, 2021",May,Thu,"1,855.65","1,862.00","1,870.40","1,822.80",959.83K,-0.13%,,
"May 19, 2021",May,Wed,"1,858.10","1,844.00","1,884.95","1,840.00",2.10M,1.26%,,
"May 18, 2021",May,Tue,"1,835.05","1,780.00","1,842.75","1,770.25",1.91M,4.14%,,
"May 17, 2021",May,Mon,"1,762.10","1,763.15","1,781.00","1,743.00",774.81K,0.83%,,
"May 14, 2021",May,Fri,"1,747.65","1,760.00","1,774.00","1,730.00",1.17M,0.06%,,
"May 12, 2021",May,Wed,"1,746.60","1,799.00","1,829.00","1,732.80",1.63M,-2.55%,,
"May 11, 2021",May,Tue,"1,792.30","1,725.00","1,800.40","1,723.05",1.30M,2.50%,,
"May 10, 2021",May,Mon,"1,748.65","1,700.00","1,757.50","1,690.95",1.03M,3.26%,,
"May 07, 2021",May,Fri,"1,693.40","1,700.00","1,709.85","1,681.50",831.10K,-1.84%,,
"May 06, 2021",May,Thu,"1,725.20","1,735.50","1,744.00","1,716.05",477.24K,0.09%,,
"May 05, 2021",May,Wed,"1,723.65","1,775.00","1,782.95","1,715.00",1.22M,-2.63%,,
"May 04, 2021",May,Tue,"1,770.20","1,785.00","1,789.05","1,761.00",586.04K,0.26%,,
"May 03, 2021",May,Mon,"1,765.55","1,761.00","1,781.95","1,753.00",773.32K,-1.44%,,
"Apr 30, 2021",Apr,Fri,"1,791.40","1,784.90","1,809.15","1,757.75",756.66K,-0.06%,,
"Apr 29, 2021",Apr,Thu,"1,792.55","1,801.00","1,818.00","1,765.30",1.21M,-0.18%,,
"Apr 28, 2021",Apr,Wed,"1,795.85","1,800.00","1,818.00","1,775.00",1.54M,0.15%,,
"Apr 27, 2021",Apr,Tue,"1,793.20","1,730.00","1,802.60","1,714.65",2.26M,3.60%,,
"Apr 26, 2021",Apr,Mon,"1,730.85","1,721.90","1,739.25","1,718.00",791.76K,1.10%,,
"Apr 23, 2021",Apr,Fri,"1,712.00","1,670.00","1,717.90","1,661.00",1.63M,2.33%,,
"Apr 22, 2021",Apr,Thu,"1,673.05","1,614.00","1,681.00","1,614.00",988.50K,2.01%,,
"Apr 20, 2021",Apr,Tue,"1,640.05","1,616.00","1,648.95","1,616.00",1.14M,1.70%,,
"Apr 19, 2021",Apr,Mon,"1,612.70","1,550.00","1,620.00","1,550.00",1.19M,-0.91%,,
"Apr 16, 2021",Apr,Fri,"1,627.45","1,611.00","1,638.10","1,606.00",968.08K,1.20%,,
"Apr 15, 2021",Apr,Thu,"1,608.10","1,592.10","1,632.90","1,589.00",1.16M,-0.22%,,
"Apr 13, 2021",Apr,Tue,"1,611.65","1,582.05","1,623.00","1,582.05",1.23M,1.87%,,
